countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,type,cases,rgdpe_per_pers,cases_per_pers
OMN,Oman,Rial Omani,2019,146794.7969,152847.9219,4.974986,2.779465437,,,91292.46094,125512.7969,146395.1094,150306.2969,785886.75,0.008112869,,,145134.7969,90938.84375,127796.0313,783327.4375,1.093146682,,,0.30266872,0.131507665,0.040439986,0.3845,0.545430601,0.521407545,0.507839799,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.376933843,0.227670655,0.2304423,0.49435842,-0.329405218,1.90641e-16,0.547854125,0.457319289,0.541466475,0.557464421,0.616709054,0.254880965,0.759756207,confirmed,324085.0,29506.574872773508,0.06514289688453394
PAK,Pakistan,Pakistan Rupee,2019,1036799.875,1088502.5,216.565318,63.08505249,1966.90718,1.770760417,1023950.375,1140582.625,1034836.0,1089080.25,1718255.0,,,,1078572.625,1025097.938,1138659.625,1723806.625,,,,,,0.074801646,150.0362538,0.237858161,0.248345017,0.235975564,Extrapolated,Extrapolated,Market-based,Regular,,,71.11113333,0.836615741,0.10709241,0.103581578,0.040007807,-0.087297536,-2.58201e-14,0.231672153,0.340412319,0.28782177,0.571041107,0.537926972,0.203930661,,confirmed,1381152.0,4787.469593815571,0.006377530865768637
PAN,Panama,Balboa,2019,125636.6016,126883.1875,4.246439,1.91989994,,2.888246298,86509.28906,128340.7109,124981.8828,127016.1328,524603.0625,0.005402492,0.793957412,0.771566927,129144.7891,86194.38281,128139.5156,524968.9375,1.176977754,0.92912513,0.900783658,0.306308389,0.16693069,0.037337352,1.0,0.489433497,0.534380376,0.525821924,Extrapolated,Extrapolated,Market-based,Regular,Regular,,73.33333333,0.527995467,0.329339445,0.153093502,0.129389882,-0.282493949,0.142675653,0.512313902,0.627332628,0.410522521,0.674922645,0.624726236,0.433824509,0.993059993,confirmed,644683.0,29586.343192496115,0.15181732270262213
PER,Peru,Nuevo Sol,2019,403546.3438,397821.0313,32.510453,16.89040375,2139.601759,2.838530064,315795.4375,397494.6875,402519.6563,397799.1563,1466834.875,0.017935665,0.446011633,0.428631604,399324.9688,315246.0,398414.3438,1468479.625,1.082840323,0.996043682,0.996930182,0.447212279,0.142116323,0.042067904,3.337265547,0.559578478,0.563575923,0.570263624,Extrapolated,Extrapolated,Market-based,Regular,Regular,,80.0,0.635008156,0.2053781,0.15884836,0.179468274,-0.174633339,-0.004069526,0.580074549,0.579027355,0.477643907,0.646169722,0.610004961,0.398251504,0.809629023,confirmed,2976260.0,12412.818234184555,0.09154778618433893
PHL,Philippines,Philippine Peso,2019,887058.5,913426.8125,108.116615,42.42480087,2168.2965,2.714880228,809073.6875,997788.0625,883988.1875,913573.5625,2753356.0,0.028995039,0.506685019,0.532234907,929959.5,810138.0,1002067.375,2744659.5,1.172068834,1.007624507,1.013551831,0.496991843,0.168462992,0.047949605,51.79578265,0.387974054,0.406514972,0.393350303,Extrapolated,Extrapolated,Market-based,Regular,Regular,,81.11113333,0.772145629,0.206567273,0.113468528,0.108275063,-0.200620607,0.000164076,0.380214781,0.486005306,0.440775454,0.717030525,0.639709353,0.297819257,0.721904933,confirmed,3442056.0,8204.645511700492,0.031836512824601475
POL,Poland,Zloty,2019,1259693.75,1211846.25,37.887768,16.15910721,2022.632232,3.457758427,974032.1875,1198812.625,1258024.125,1214853.0,3148161.0,0.036870193,0.886503339,0.841353655,1214221.5,971009.0,1200299.375,3155211.75,1.079256773,1.05802989,1.049561262,0.579707921,0.136893615,0.050969575,3.839375,0.462134808,0.473649174,0.49048081,Extrapolated,Extrapolated,Market-based,Regular,Regular,,82.22223333,0.576712966,0.185026884,0.225056618,0.303541422,-0.328659654,0.038321696,0.489376247,0.523543894,0.392327994,0.683008552,0.617757499,0.420247227,0.786551535,confirmed,4547315.0,33248.032715994246,0.12002066207753384
PRT,Portugal,Euro,2019,350395.375,325160.0313,10.226187,4.961589336,1864.58836,2.512750864,265977.0313,348651.7813,349450.7188,327037.7188,2913985.25,0.027246417,0.64957571,0.666031063,329200.75,265621.4688,348282.6563,2905442.25,1.025843143,1.018404722,1.026341796,0.586291552,0.05510002,0.033121172,0.893276257,0.725149333,0.683315456,0.730145395,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.631054997,0.252798796,0.182236627,0.306556523,-0.469065219,0.096418291,0.739239275,0.548729599,0.676358283,0.668931305,0.583704054,0.390706927,0.419853538,confirmed,2254583.0,34264.51863240913,0.22047152081220497
PRY,Paraguay,Guarani,2019,85487.35938,86788.55469,7.044636,3.358279705,,2.656612158,70616.8125,85573.09375,85287.39063,86919.07813,288482.9063,0.002908962,0.616346538,0.583603024,87833.36719,70527.9375,85937.98438,288504.5938,1.084675312,0.957723141,0.987726867,0.449382842,0.134235263,0.03162358,6240.722078,0.422074884,0.446568996,0.438185811,Extrapolated,Extrapolated,Market-based,Regular,Regular,,65.55556667,0.681866944,0.172071308,0.130576238,0.150811836,-0.251056343,0.115730032,0.425312191,0.562219322,0.405169696,0.583749413,0.55850178,0.429252863,0.83481586,confirmed,542388.0,12135.099582150164,0.07699304832783412
QAT,Qatar,Qatari Rial,2019,292963.5313,323141.1563,2.832067,2.083951235,,3.259456396,86421.28906,250487.2031,290479.0313,312499.0938,1627417.25,0.029570509,0.578873813,0.446263611,304382.5,85876.22656,249761.9844,1627426.875,1.167409301,0.878763974,0.874754012,0.176196918,0.148649693,0.072000645,3.64,0.888790727,0.63159883,0.587093592,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.155597925,0.525012434,0.120950989,0.443117648,-0.143853381,-0.100825608,0.887101591,0.496123642,0.890963733,0.526705563,0.649064124,0.332204849,0.59187007,confirmed,326093.0,103445.12728688975,0.11514310925553668
ROU,Romania,New Leu,2019,558259.5625,540045.75,19.364557,8.680299759,1791.735429,3.273047924,453761.0625,578471.9375,556987.0625,541634.25,1805810.125,0.02097859,0.784687519,0.806015432,543143.125,453782.9375,580762.5,1816084.375,1.063772321,1.045317531,1.072997332,0.504583359,0.148841113,0.05936401,4.237925,0.446003377,0.448979855,0.46170634,Extrapolated,Extrapolated,Market-based,Regular,Regular,,78.88886667,0.626303434,0.230249256,0.211459428,0.206364706,-0.313162267,0.038785372,0.468808889,0.459809721,0.378457636,0.691561699,0.569771588,0.326754242,0.683867395,confirmed,2029211.0,28828.93538437259,0.10478995207584661
RWA,Rwanda,Rwanda Franc,2019,26962.48438,28783.21875,12.62695,5.274786949,,1.919020295,25933.39258,30763.4668,26909.00586,28869.24023,50998.07031,0.000620469,0.306840956,0.314473271,29437.9375,25967.07617,31321.71094,51122.10938,1.23078382,1.031624913,1.0301193,0.74101007,0.062868111,0.046307616,899.350509,0.348451167,0.384824723,0.358694941,Extrapolated,Extrapolated,Market-based,Regular,Low capital share,,65.55556667,0.75610745,0.167308703,0.142197907,0.06361407,-0.182352841,0.053124744,0.339000404,0.580119789,0.398703694,0.632592916,0.606939197,0.390139639,0.500528634,confirmed,128205.0,2135.312516482603,0.010153283255259583
SAU,Saudi Arabia,Saudi Riyal,2019,1754526.375,1775962.375,34.268528,13.74460506,,2.713832378,1083602.125,1585255.25,1749859.375,1749947.625,7093384.5,0.127718464,0.755122602,0.657903373,1649509.25,1078462.125,1590287.25,7117218.5,1.074751854,0.953203142,0.967465937,0.280881643,0.138681769,0.058537364,3.75,0.459452689,0.453160346,0.453137517,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.39395538,0.286667496,0.22526437,0.259594411,-0.124024831,-0.041456815,0.447854936,0.439568549,0.479735523,0.554287791,0.665020347,0.269498169,0.517020047,confirmed,657192.0,51199.35046524321,0.01917771314834416
SDN,Sudan,Sudanese Pound,2019,170039.9531,181135.7344,42.813238,10.32207203,,1.611784101,172083.625,185674.5781,169980.3594,181252.3906,317575.8125,0.005256949,0.656622231,0.646926403,182462.5625,170709.1719,184605.7031,319318.125,1.000020623,0.997130334,0.984112144,0.634985507,0.068653673,0.043246668,60.4745,0.149451271,0.156359613,0.146635637,Extrapolated,Extrapolated,Market-based,Regular,Regular,,71.1111,0.791903138,0.074983537,0.157511249,0.017122112,-0.041520059,0.0,0.164474338,0.243830323,0.073921382,0.725439847,0.625237048,0.179974183,0.213700339,confirmed,55149.0,3971.6676673696115,0.0012881296200955414
SEN,Senegal,CFA Franc BCEAO,2019,51997.69141,52927.86719,16.296364,6.142953873,,1.617536068,46366.14453,58518.46875,51816.97656,53146.42188,161783.9219,0.001814419,0.447507262,0.47390312,54101.00781,46372.08203,58857.69922,162169.7813,1.152371883,0.997327447,0.976438165,0.486178845,0.143940657,0.04614377,585.9110132,0.413418233,0.456694245,0.445270151,Extrapolated,Extrapolated,Market-based,Regular,Regular,,80.0,0.734706461,0.228657424,0.137716264,0.12482661,-0.264136434,0.038229667,0.404522598,0.621810079,0.460875839,0.629855216,0.580124557,0.369734257,0.776028574,confirmed,84374.0,3190.754171298579,0.005177473944494613
SGP,Singapore,Singapore Dollar,2019,514376.3125,477907.875,5.804337,3.759603739,2330.165875,4.351568222,229661.5,364268.7813,512273.2188,477183.5938,2148978.0,0.026995936,0.691065729,0.507372022,484399.9063,229240.0625,367374.3125,2155261.75,1.072627425,0.952998579,0.944611371,0.439468116,0.152852178,0.057399828,1.364158333,0.749281883,0.726319253,0.779728949,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.368542343,0.282086968,0.112743065,1.149431467,-1.117444634,0.204640761,0.761577606,0.687141538,0.709088624,0.711648524,0.673213303,0.469200015,0.894616187,confirmed,316774.0,88619.30527121357,0.05457539767246457
SLE,Sierra Leone,Leone,2019,13621.9707,14651.25977,7.813215,2.535529613,,1.645116448,15875.10645,16571.34766,13634.67676,14754.47949,16960.16211,0.000315007,0.432344019,0.467018455,14164.47754,16069.4209,16143.94922,17017.89063,0.981363356,1.058223605,1.058512688,0.547566712,0.081883572,0.061025709,9010.221144,0.281796038,0.30229786,0.279354721,Extrapolated,Extrapolated,Market-based,Regular,Regular,,55.55556667,0.891897202,0.047188468,0.184054449,0.095973507,-0.219113588,-2.69268e-08,0.313719511,0.769762874,0.127100274,0.465422243,0.478456497,0.462480783,0.685519516,confirmed,7593.0,1743.4526888099201,0.000971815059485756
SLV,El Salvador,US Dollar,2019,53766.47656,52378.77344,6.453553,3.007611513,,2.30672574,53270.40234,63367.11328,53657.51953,52751.42578,195583.4375,,,,53204.8125,53276.97266,63545.0,196353.25,,,,,,0.045421977,1.0,0.502149761,0.503613293,0.512263656,Extrapolated,Extrapolated,Market-based,Regular,,,88.8889,0.826998472,0.191401646,0.182839736,0.227333635,-0.42857343,1.34627e-16,0.514319599,0.511334896,0.447104692,0.665679991,0.569396198,0.299054503,,confirmed,127012.0,8331.298520365448,0.019680941645633034
SRB,Serbia,Serbian Dinar,2019,121562.6953,120447.6719,6.99451,2.905190468,,3.473798752,108112.0703,133615.4375,121487.9063,121193.1094,621227.6875,0.006433262,0.535605967,0.567930043,123007.1094,107886.375,134954.8438,622876.5625,1.047837377,1.028206825,1.060854673,0.602678537,0.054601446,0.041163299,105.2495583,0.404128343,0.423705041,0.424735665,Extrapolated,Extrapolated,Market-based,Regular,Regular,,88.8889,0.611390173,0.210435763,0.280674309,0.2523534,-0.392902136,0.038048547,0.474015921,0.506693125,0.251892895,0.641949236,0.56135571,0.338772684,0.368140072,confirmed,1559946.0,17379.730002530556,0.22302434337787777
STP,Sao Tome and Principe,Dobra,2019,784.5307617,813.9346924,0.215056,0.064601555,,,823.2085571,958.3129272,782.8875732,821.2059326,3792.67627,4.86317e-05,,,878.1412354,821.7684326,951.8713989,3795.664795,0.944628954,,,0.738317966,0.01,0.053303994,21.88474182,0.534194648,0.538746178,0.513607681,Extrapolated,Extrapolated,Market-based,Regular,Lower bound,,63.33333333,0.792284369,0.164519444,0.21015431,0.017175622,-0.28679046,0.102656767,0.576539874,0.566479027,0.374552786,0.698977768,0.626998544,0.435973704,0.262811095,confirmed,5836.0,3648.030102391935,0.02713711777397515
SUR,Suriname,Surinam Dollar,2019,8851.334961,8418.677734,0.581372,0.22086516,,,4920.061035,8102.795898,8812.911133,8440.474609,63765.55469,0.001300846,,,8026.186523,4898.880859,8138.532227,64439.26953,1.02835393,,,0.452156126,0.01,0.071630754,7.458,0.373958319,0.41953373,0.43804571,Extrapolated,Extrapolated,Market-based,Regular,Lower bound,,71.11113333,0.354993582,0.377080083,0.227919251,0.243275166,-0.351592541,0.1483244,0.455231756,0.489986956,0.247371614,0.711500704,0.576710284,0.295172989,0.180311292,confirmed,70937.0,15224.907565207819,0.1220165401842538
SVK,Slovakia,Euro,2019,176537.5469,149921.4375,5.457013,2.468860865,1694.940165,3.849035501,131500.7813,175484.3906,176179.2969,151482.375,777340.3125,0.008877618,0.609692276,0.679293633,153090.9688,131225.0781,175902.2344,777169.6875,1.042885661,1.02229321,1.032603741,0.573765099,0.081475936,0.047764152,0.893276257,0.607671142,0.596435964,0.693675816,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.583525658,0.290354639,0.284567267,0.853421867,-1.025321007,0.013451681,0.670131087,0.562845349,0.479592621,0.695468903,0.58530283,0.45047012,0.584220648,confirmed,1464277.0,32350.58206751569,0.2683293955869264
SVN,Slovenia,Euro,2019,82556.5,70868.51563,2.078654,1.046805859,1592.933904,3.574908018,55288.25781,75376.64063,82341.83594,71353.5625,493944.8438,0.005498183,0.630872607,0.640963852,70660.03906,55192.61328,75523.07031,494380.8125,1.030917287,1.036892653,1.044925809,0.6366992,0.050796553,0.042593651,0.893276257,0.693943858,0.657918632,0.759236455,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.55306375,0.281533003,0.221785575,0.787163973,-0.93897897,0.095432736,0.719597876,0.558768034,0.629970789,0.66898042,0.569587171,0.432262897,0.414520025,confirmed,612017.0,39716.32604560452,0.294429472148804
SWE,Sweden,Swedish Krona,2019,560960.5,526240.8125,10.036379,5.002136707,1605.276602,3.43598628,385172.6563,539628.125,559511.0625,527787.8125,2743785.0,0.037233546,0.812524378,0.798991084,532053.6875,383728.4688,541234.1875,2757360.25,1.038183331,1.010664105,0.998262584,0.556666195,0.056161635,0.041834157,9.458349167,0.981509566,0.948835313,1.00586617,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.466308206,0.292646885,0.263478726,0.444346488,-0.499285847,0.03250552,0.978411436,0.867353976,0.986992776,0.684664667,0.603221059,0.884887695,0.731984138,confirmed,1784005.0,55892.71788161846,0.17775384927173435
SWZ,Eswatini,Lilangeni,2019,9684.318359,8987.358398,1.14813,0.312530398,,2.15700984,8515.492188,9380.438477,9685.634766,9042.543945,31638.85938,0.000380785,0.630997181,0.629550457,9667.103516,8493.196289,9365.444336,31743.26563,1.025312781,0.960475862,0.856441796,0.612078846,0.097763106,0.052307624,14.45178923,0.461473823,0.474344939,0.508079588,Extrapolated,Extrapolated,Market-based,Regular,Regular,,66.66666667,0.687491536,0.09565296,0.254222721,0.326696098,-0.358745426,-0.005317903,0.461523235,0.601062357,0.461340249,0.677564502,0.564874232,0.345489413,0.541990817,confirmed,68118.0,8434.8622185641,0.05932951843432363
SYC,Seychelles,Seychelles Rupee,2019,3033.672119,2715.498535,0.097739,0.052472875,,,2535.680176,3390.483154,3026.9646,2779.828613,17765.37109,,,,2438.312744,2525.856689,3377.341064,17859.71484,,,,,,0.057864487,14.03325,0.541251421,0.561243892,0.611140311,Extrapolated,Extrapolated,Market-based,Regular,,,72.2222,0.570300937,0.307502031,0.341870457,0.335996449,-0.796816111,0.241146222,0.636495233,0.620549262,0.38236773,0.88225621,0.649087131,0.407593429,,confirmed,35178.0,31038.501713747835,0.35991774010374566
TCD,Chad,CFA Franc BEAC,2019,25648.60547,25755.51953,15.946876,5.955429077,,,22120.1582,26133.27344,25586.3418,25472.14844,47048.18359,0.000895201,,,24979.35742,22110.55469,26315.51953,47233.44922,1.07575655,,,0.49264279,0.123160526,0.067184739,585.9110132,0.403402597,0.440534383,0.442509353,Extrapolated,Extrapolated,Market-based,Regular,Regular,,50.00003333,0.77474463,0.157549158,0.09366104,0.163222492,-0.040743727,-0.148433581,0.402166069,0.64520371,0.413630873,0.501104414,0.627514958,0.409466594,0.739753544,confirmed,7073.0,1608.3780591258123,0.0004435351475737317
TGO,Togo,CFA Franc BCEAO,2019,17609.35156,18065.91992,8.082366,3.171970844,,1.798118234,17042.63281,19347.03711,17588.45508,18116.0918,47682.10938,0.000779292,0.240465567,0.246986642,17448.56445,17000.51953,19291.95313,47782.48438,1.095193982,1.033210635,1.084125638,0.806201458,0.01,0.039665267,585.9110132,0.394989431,0.413340062,0.401301414,Extrapolated,Extrapolated,Market-based,Regular,Lower bound,,74.44443333,0.77392441,0.127202049,0.166821152,0.079674847,-0.175193235,0.027570819,0.408704937,0.549055576,0.331359804,0.635365486,0.581135273,0.345551401,0.209358871,confirmed,36323.0,2178.7372113561796,0.004494104820296433
THA,Thailand,Baht,2019,1222506.5,1191732.875,69.625582,37.5409584,2092.9901,2.804448605,854496.8125,1095626.25,1219961.875,1192240.125,5630091.0,0.068150304,0.455224335,0.402341425,1229521.375,852375.75,1095197.5,5667202.5,1.046342134,1.031058311,1.027855277,0.637203157,0.059931803,0.062987238,31.04760578,0.418815792,0.444290102,0.454620659,Extrapolated,Extrapolated,Market-based,Regular,Regular,,80.0,0.525244534,0.20224905,0.191470861,0.268413186,-0.258172572,0.070794992,0.427808076,0.534564078,0.394148082,0.730201662,0.7043612,0.276656598,0.334129065,confirmed,2391357.0,17558.29488075231,0.034345953474399685
TJK,Tajikistan,Somoni,2019,30795.53516,36293.75,9.321018,2.682578087,,3.03216815,33561.08984,38847.40625,30830.49805,36495.99219,357036.7188,0.003101545,0.261935502,0.268152505,40990.94531,32492.17188,38613.19141,356459.3438,1.015961528,1.113750696,1.054531693,0.444266647,0.012920748,0.022653135,9.530366667,0.215688944,0.270287901,0.22832948,Extrapolated,Extrapolated,Market-based,Regular,Regular,,73.33333333,0.574065149,0.144846514,0.345517755,0.042526066,-0.164955318,0.057999786,0.302085757,0.616918743,0.072143786,0.697225749,0.619963348,0.325424105,0.17290248,confirmed,17578.0,3303.8810953910825,0.0018858455160155252
TTO,Trinidad and Tobago,Trinidad and Tobago Dollar,2019,37336.66406,39956.83594,1.394973,0.61371702,,3.08532095,32029.22461,35127.40625,37296.21484,39584.79688,78186.58594,0.000983236,1.094464421,0.934092164,35696.33203,31990.65625,35482.78516,78609.97656,1.050346017,0.95475316,1.016889691,0.33823204,0.391968518,0.03865841,6.754241035,0.627245486,0.62227571,0.586299002,Extrapolated,Extrapolated,Market-based,Regular,Regular,,47.77776667,0.66899395,0.078267001,0.140135482,0.460667461,-0.348063886,6.37917e-12,0.610033154,0.570897341,0.709415555,0.492251962,0.553549707,0.403110355,1.808845162,confirmed,106806.0,26765.151769962573,0.07656492276194593
TUN,Tunisia,Tunisian Dinar,2019,125595.5078,129698.9219,11.694719,3.687084436,,2.6992414,126960.5234,140716.5156,125568.6094,130405.375,351555.2813,0.003670598,0.766343236,0.79532361,129398.25,126708.6875,140649.2656,352645.25,1.048066139,0.987989008,0.988109827,0.501676559,0.106923893,0.043716501,2.934433333,0.282790333,0.308973789,0.297513872,Extrapolated,Extrapolated,Market-based,Regular,Regular,,71.11113333,0.766975045,0.105486341,0.206608489,0.190571487,-0.319888413,0.050247058,0.279665977,0.55063343,0.294388652,0.601334333,0.51717031,0.348157346,0.609933972,confirmed,853905.0,10739.50625064185,0.07301629051540272
TUR,Turkey,New Turkish Lira,2019,2227538.25,2248225.75,83.429615,28.08733368,1832.0,2.514292002,1555716.125,2157099.75,2219237.25,2246181.75,10235724.0,0.108281977,0.876779795,0.809816122,2242847.0,1541107.5,2163506.75,10213820.0,1.099979758,0.974271476,0.92873913,0.436831266,0.147759721,0.050661191,5.673819308,0.354356021,0.343102366,0.338986635,Extrapolated,Extrapolated,Market-based,Regular,Regular,,81.11113333,0.489421278,0.267736018,0.203183442,0.119962759,-0.147055224,0.066751741,0.393920779,0.313990444,0.259053826,0.671109796,0.636799455,0.209970966,0.458580405,confirmed,11014152.0,26699.610803669657,0.13201729385902117
UGA,Uganda,Uganda Shilling,2019,89417.125,92618.59375,44.269594,15.49187565,,2.43697238,86770.54688,99083.14063,89275.76563,92851.22656,182602.9688,,,,91112.75,86585.11719,99100.04688,182735.1875,,,,,,0.038890623,3704.049072,0.318894595,0.365262866,0.351197481,Extrapolated,Extrapolated,Market-based,Regular,,,67.7778,0.798654795,0.132605612,0.135856748,0.04766326,-0.131033078,0.016252663,0.328411013,0.692033827,0.262950867,0.683887362,0.586759746,0.430592984,,confirmed,160572.0,2019.8316027022972,0.0036271396570747862
UKR,Ukraine,Hryvnia,2019,562544.1875,578290.5,43.993638,16.49907684,,3.28966856,553559.3125,607393.375,563291.1875,580797.3125,7085837.5,0.052634861,0.392283469,0.394562453,574202.5625,569416.8125,613136.75,6927137.0,1.026404023,1.043200731,1.064727306,0.558441222,0.015162422,0.025985785,25.84558933,0.264563888,0.273004681,0.264775902,Extrapolated,Extrapolated,Market-based,Regular,Regular,,72.2222,0.644882441,0.092689879,0.30821991,0.132176116,-0.167310372,-0.010657961,0.309240699,0.359798729,0.171087444,0.659828961,0.628304839,0.222322971,0.149390772,confirmed,4055643.0,12786.944046318698,0.09218703395250014
URY,Uruguay,Peso Uruguayo,2019,73450.5,71122.78906,3.461734,1.635378838,1532.51374,2.776405811,60456.65625,71562.1875,73335.14063,71310.97656,318946.0313,0.003382168,0.693408728,0.669247806,72155.94531,60369.25781,71677.17188,321913.4375,1.022775888,0.998226523,1.00243938,0.473971903,0.112318434,0.034516085,35.255375,0.75481087,0.76424408,0.78593719,Extrapolated,Extrapolated,Market-based,Regular,Regular,,77.7778,0.684572101,0.155733794,0.163216785,0.172086999,-0.208664566,0.033054907,0.762529492,0.815597177,0.722436965,0.636915267,0.558710098,0.605637729,1.009400606,confirmed,599040.0,21217.834761423033,0.17304622481103402
UZB,Uzbekistan,Uzbekistan Sum,2019,378534.25,414768.4688,32.981716,14.62453461,,,344205.1563,419838.3438,379531.2188,416046.5625,1162961.25,0.015373635,,,395524.2813,343965.625,443774.7188,1168222.625,1.327171206,,,0.427631557,0.160069495,0.051519167,8836.7875,0.119166866,0.152612686,0.139218271,Extrapolated,Extrapolated,Market-based,Outlier,Regular,,64.44443333,0.353067905,0.181790218,0.474255711,0.059052009,-0.081742644,0.013576814,0.214631706,0.304823995,0.048096403,0.60767144,0.642989576,0.108770169,0.249714017,confirmed,215063.0,11477.093854061444,0.006520673454346645
YEM,Yemen,Yemeni Rial,2019,50052.93359,51828.05859,29.161922,5.531877041,,1.842988729,49266.47266,67992.53125,49937.04297,51983.42969,548553.3125,,,,40069.59375,49169.07031,64330.73828,550232.6875,,,,,,0.029835623,250.25,0.598363042,0.499336571,0.479679614,Extrapolated,Extrapolated,Market-based,Regular,,,38.88886667,0.647500336,0.36023131,0.300233811,0.000723247,-0.135297,-0.173391685,0.777611792,0.238807321,0.211785614,0.632594407,0.670527995,0.17169486,,confirmed,10585.0,1716.3797910851006,0.0003629733321418252
ZAF,South Africa,Rand,2019,748940.0,734094.375,58.55827,18.64270973,2191.363362,2.90820241,623669.5625,741675.9375,748245.9375,735067.0625,2897706.0,0.03389686,0.542998374,0.526934445,732851.625,622110.0,741393.4375,2892805.0,1.035865664,0.96604526,0.972628593,0.570888281,0.097021475,0.052061696,14.44842705,0.459429175,0.469673097,0.478093743,Extrapolated,Extrapolated,Market-based,Regular,Regular,,75.55556667,0.621123731,0.160538256,0.227328867,0.184206575,-0.198112309,0.004914912,0.463660091,0.523812711,0.447869182,0.660215914,0.604545832,0.312700838,0.515177131,confirmed,3582691.0,12789.653792709381,0.061181640099681904
ZMB,Zambia,Kwacha,2019,57956.18359,56783.71484,17.86103,5.225447655,,2.686845064,38698.40234,56536.86328,57695.06641,56811.10547,303724.1875,0.004759239,0.255551964,0.244595408,56282.27344,38596.13281,56428.70313,304750.2188,1.102471828,0.964358151,0.929159045,0.390300542,0.064139992,0.04363545,12.88941789,0.362360597,0.400121927,0.406347662,Extrapolated,Extrapolated,Market-based,Regular,Regular,,55.55556667,0.509846091,0.313996047,0.171330631,0.21539703,-0.238960981,0.028391184,0.373077124,0.482040584,0.330470234,0.574415982,0.531914949,0.296794862,0.34246403,confirmed,301924.0,3244.839944280929,0.01690406432327811
ZWE,Zimbabwe,US Dollar,2019,42296.0625,40826.57031,14.645468,6.831016541,,2.713407516,43961.83984,47128.78516,42325.11719,41081.72266,69588.24219,0.000837049,0.35197261,0.388344556,42694.07031,43969.49609,47204.44141,69946.42188,1.038924932,0.917616844,0.909100115,0.533381104,0.243463859,0.056593671,1.0,0.496064961,0.506572962,0.521905065,Extrapolated,Extrapolated,Market-based,Regular,Regular,,56.66663333,0.842997968,0.077088952,0.227109015,0.213561818,-0.270959347,-0.089798369,0.494755059,0.652438998,0.500927091,0.487763077,0.430081904,0.420675397,1.384067535,confirmed,228541.0,2887.9966485195287,0.015604895657823978
