countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k,type,cases,rgdpe_per_pers,cases_per_pers
FJI,Fiji,Fiji Dollar,2019,12235.46387,12240.17773,0.889953,0.308247536,,2.701597691,9502.083008,11936.82422,12212.16504,12362.8252,28567.25195,0.000373862,0.789444745,0.733100533,12043.99316,9481.212891,11950.84473,28814.74023,1.080953121,1.002928615,1.014035106,0.48862648,0.254764289,0.081372283,2.160398532,0.465459973,0.450734854,0.445241958,Extrapolated,Extrapolated,Market-based,Regular,Regular,,57.7778,0.586148798,0.196940526,0.18245244,0.131052598,-0.428234488,0.331640124,0.465536505,0.393267035,0.465214163,0.637530565,0.516472876,0.2857081,0.871859074,confirmed,61898.0,13748.438254604456,0.06955198757687203
FRA,France,Euro,2019,3018884.75,2946958.25,67.351247,28.53256416,1504.912353,3.230137348,2233350.0,3039703.0,3010224.0,2950146.25,17987252.0,0.215777665,0.888051331,0.880027771,2965338.5,2227413.25,3045946.5,18013436.0,1.037202716,0.997133791,0.995348692,0.624132037,0.043793365,0.036413446,0.893276257,0.934080362,0.902098477,0.920469046,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.541661859,0.273326486,0.215368405,0.274840564,-0.327384949,0.02218762,0.913002849,0.813518226,0.987091362,0.686174572,0.665961564,0.724536717,0.547756076,confirmed,16446852.0,44822.99711540604,0.24419521141160164
GAB,Gabon,CFA Franc BEAC,2019,33368.84375,33658.08594,2.172579,0.658010662,,2.876266956,17586.98633,23392.93359,33328.30078,33140.01563,128428.125,0.001980526,0.577195644,0.39185518,32012.29297,17676.05078,23674.66602,128638.4844,1.03060782,1.00148046,0.973083556,0.274864644,0.134870663,0.04775333,585.9110132,0.476456255,0.506713152,0.509592056,Extrapolated,Extrapolated,Market-based,Regular,Regular,,43.3333,0.344367296,0.175194442,0.186320007,0.316218257,-0.097891636,0.075791642,0.556469977,0.598365307,0.328570396,0.531960726,0.561089933,0.401256859,0.71601063,confirmed,46198.0,15359.093386247407,0.021264128945368613
GBR,United Kingdom,Pound Sterling,2019,3118991.25,2989895.5,67.530172,32.98249817,1667.947711,3.773596048,2414705.5,3154159.75,3110495.0,2994405.75,15302674.0,0.178386733,0.767746747,0.777788639,3016695.25,2408667.5,3163755.5,15374461.0,1.035337448,0.995244145,0.996545136,0.58964473,0.083146363,0.038087454,0.78344511,0.972623169,0.908679068,0.94390732,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.608676434,0.246945262,0.197729126,0.227445394,-0.346070737,0.065274552,0.992262185,0.699868321,0.912167728,0.687633097,0.668252349,0.628588378,0.752910078,confirmed,15953685.0,46186.632695086286,0.2362452889946734
GEO,Georgia,Lari,2019,59386.25391,68167.48438,3.996765,1.372077227,,,51440.62891,64538.16016,59277.49609,68545.67188,297316.0,0.002983957,,,63508.82422,51239.70703,64513.66016,298215.0625,1.067098379,,,0.446427882,0.121343754,0.041398138,2.818145,0.283065677,0.299319893,0.258848339,Extrapolated,Extrapolated,Market-based,Regular,Regular,,87.77776667,0.532246232,0.191077441,0.218211487,0.082117155,-0.257204652,0.233552381,0.3368617,0.363158494,0.151850164,0.674815536,0.539805293,0.201261058,0.381164789,confirmed,1059392.0,14858.58035436159,0.2650623691910833
GHA,Ghana,Cedi,2019,168712.9844,163139.1563,30.417856,13.22072411,,2.526944876,148301.7813,175660.8906,168337.3438,162525.8906,421221.875,,,,167411.9063,148292.2813,178813.0938,423206.5938,,,,,,0.044841707,5.216183333,0.351994336,0.398005962,0.412237436,Extrapolated,Extrapolated,Market-based,Regular,,,77.7778,0.805643022,0.168336898,0.106837951,0.16866447,-0.11152114,-0.137961164,0.353232026,0.647414804,0.342661113,0.611705303,0.575986445,0.427114487,,confirmed,155665.0,5546.511378053732,0.0051175533213123235
GIN,Guinea,Guinea Franc,2019,29383.00781,29205.35156,12.771246,4.679975033,,,30094.86133,32434.49023,29377.2832,29424.21484,56857.53516,0.000916449,,,32796.19922,30049.20313,31185.22852,56792.76563,1.044613838,,,0.419600725,0.146103695,0.055717342,9183.875864,0.392617196,0.420542657,0.419871867,Extrapolated,Extrapolated,Market-based,Regular,Regular,,58.8889,0.809442163,0.079513706,0.213350207,0.203988105,-0.299031258,-0.007262897,0.412241906,0.779750705,0.318161875,0.719685793,0.626866579,0.438641161,0.906036675,confirmed,35908.0,2300.715827570779,0.002811628559969795
GMB,Gambia,Dalasi,2019,5114.541504,5655.292969,2.347706,0.688571572,,1.676809788,5043.233887,5721.441895,5104.681152,5678.666504,12008.94043,,,,5542.038574,5036.400391,5754.046387,12099.71582,,,,,,0.052854463,50.2775,0.328636378,0.357096434,0.321002036,Extrapolated,Extrapolated,Market-based,Regular,,,71.11113333,0.793577015,0.11943087,0.094524741,0.006534712,-0.150767952,0.1367006,0.334914356,0.568728745,0.275929987,0.662982941,0.577031553,0.339303792,,confirmed,11572.0,2178.52725341248,0.004929066927460252
GNB,Guinea-Bissau,CFA Franc BCEAO,2019,3262.903564,3554.279053,1.920922,0.779939353,,,3767.118896,3878.827881,3266.13208,3581.914795,6250.891602,,,,3765.965088,3769.211914,3863.308594,6255.803711,,,,,,0.02757257,585.9110132,0.397749692,0.404842705,0.369151652,Extrapolated,Extrapolated,Market-based,Regular,,,57.77776667,0.851798058,0.031186955,0.199907288,0.197089747,-0.247391969,-0.032590047,0.422006339,0.644037366,0.294393092,0.410998315,0.558717728,0.339485705,,confirmed,7293.0,1698.6132513449272,0.003796614334158284
GNQ,Equatorial Guinea,CFA Franc BEAC,2019,30121.93555,33510.15625,1.355986,0.495654613,,,27016.94141,29352.75,30225.3457,33078.69922,116049.5078,,,,28456.31641,25480.49609,27450.12695,115878.7891,,,,,,0.067254633,585.9110132,0.342319518,0.364750743,0.333287507,Extrapolated,Extrapolated,Market-based,Regular,,,36.66663333,0.343610793,0.070613697,0.473136574,0.424172312,-0.311533332,0.0,0.561296284,0.624199688,0.183289811,0.433287621,0.559062779,0.395172089,,confirmed,15732.0,22214.046125844958,0.01160188969502635
